Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019
Chile,20,6.65199995040894,1.25278460979462,1.28402495384216,0.8194797039031979,0.376895278692245,0.0822879821062088,0.3266624212265011,2.5098650008440067,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Kuwait,51,6.021,1.5,1.319,0.8079999999999999,0.493,0.097,0.142,1.661999999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Norway,3,7.5539999999999985,1.4880000000000002,1.582,1.028,0.603,0.341,0.271,2.2409999999999988,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Hungary,91,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.954439999999999,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Afghanistan,145,3.632,0.332,0.537,0.255,0.085,0.036000000000000004,0.191,2.196,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Sierra Leone,106,4.70900011062622,0.36842092871666,0.984136044979095,0.005564753897488121,0.318697690963745,0.0710951760411263,0.293040901422501,2.6680446146056043,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Lebanon,103,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,1.5703599999999995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Armenia,127,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.039,0.07855,1.7587599999999997,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
China,93,5.191,1.029,1.125,0.893,0.521,0.1,0.058,1.4650000000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Jamaica,76,5.31099987030029,0.925579309463501,1.3682180643081698,0.6410223841667181,0.474307239055634,0.0552677810192108,0.23381833732128104,1.6127867549657755,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Qatar,29,6.374,1.6840000000000002,1.3130000000000002,0.871,0.555,0.16699999999999998,0.22,1.564,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Georgia,119,4.519,0.8859999999999999,0.6659999999999999,0.752,0.34600000000000003,0.16399999999999998,0.043,1.662,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Tajikistan,88,5.199,0.474,1.166,0.598,0.292,0.034,0.187,2.4480000000000004,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Palestinian Territories,110,4.6960000000000015,0.657,1.247,0.672,0.225,0.066,0.103,1.7260000000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Ireland,18,6.94,1.33596,1.36948,0.89533,0.6177699999999999,0.28703,0.45901,1.9754200000000008,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Mauritius,71,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,1.7613700000000003,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Central African Republic,155,3.083,0.026,0.0,0.105,0.225,0.035,0.235,2.4570000000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bangladesh,115,4.5,0.532,0.85,0.579,0.58,0.14400000000000002,0.153,1.662,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Sri Lanka,130,4.3660000000000005,0.949,1.265,0.831,0.47,0.047,0.244,0.5600000000000005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Zimbabwe,138,3.875,0.3758465349674221,1.08309590816498,0.19676375389099104,0.336384207010269,0.0953753814101219,0.189143493771553,1.5983907207846633,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Madagascar,143,3.933,0.274,0.916,0.555,0.14800000000000002,0.041,0.16899999999999998,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bosnia and Herzegovina,87,5.1629999999999985,0.93383,0.64367,0.7076600000000001,0.09511,0.0,0.29889,2.4838399999999994,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Malawi,150,3.41,0.191,0.56,0.495,0.443,0.08900000000000001,0.218,1.414,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Iran,117,4.548,1.1,0.8420000000000001,0.785,0.305,0.125,0.27,1.1209999999999996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Ukraine,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,1.5716599999999996,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Armenia,121,4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0266744215041399,0.0834880918264389,1.5219292622059553,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Turkey,78,5.3889999999999985,1.1649200000000002,0.8771700000000001,0.64718,0.23889,0.12348,0.04707,2.2902899999999993,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Namibia,111,4.57399988174438,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0931469723582268,0.0771337449550629,1.4818986728787378,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Somalia,112,4.668,0.0,0.698,0.268,0.5589999999999999,0.27,0.243,2.6300000000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Suriname,40,6.269,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.12692,0.16665,3.0682400000000003,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
